time	V(input)	V(output1)	V(output2)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
2.340571362375549e-006	2.942904e-002	1.471452e-002	2.354323e-002
4.681142724751098e-006	5.882014e-002	2.941007e-002	4.705611e-002
7.021714087126647e-006	8.817332e-002	4.408666e-002	7.053865e-002
9.362285449502195e-006	1.174886e-001	5.874428e-002	9.399084e-002
1.170285681187774e-005	1.467659e-001	7.338293e-002	1.174127e-001
1.404342817425329e-005	1.760052e-001	8.800262e-002	1.408042e-001
1.638399953662884e-005	2.052067e-001	1.026033e-001	1.641653e-001
3.276799907325767e-005	4.063560e-001	2.031780e-001	3.250848e-001
6.553599814651534e-005	7.865490e-001	3.932745e-001	6.292392e-001
1.155359981465153e-004	1.295178e+000	6.475891e-001	1.036143e+000
1.655359981465153e-004	1.694563e+000	8.472814e-001	1.355650e+000
2.020215323259428e-004	1.898260e+000	9.491299e-001	1.518608e+000
2.190868119350669e-004	1.956771e+000	9.783857e-001	1.565417e+000
2.361082081670515e-004	1.985304e+000	9.926519e-001	1.588243e+000
2.572778935185583e-004	1.989750e+000	9.948748e-001	1.591800e+000
2.768491353516128e-004	1.959585e+000	9.797925e-001	1.567668e+000
3.086390419614932e-004	1.837123e+000	9.185617e-001	1.469699e+000
3.586390419614932e-004	1.513894e+000	7.569472e-001	1.211116e+000
4.086390419614932e-004	1.059477e+000	5.297383e-001	8.475813e-001
4.586390419614933e-004	5.013497e-001	2.506749e-001	4.010798e-001
5.086390419614933e-004	-1.058527e-001	-5.292636e-002	-8.468218e-002
5.586390419614933e-004	-7.026935e-001	-3.513468e-001	-5.621548e-001
6.086390419614933e-004	-1.230750e+000	-6.153749e-001	-9.845998e-001
6.586390419614933e-004	-1.646359e+000	-8.231794e-001	-1.317087e+000
6.993353614922289e-004	-1.886248e+000	-9.431238e-001	-1.508998e+000
7.170782837910947e-004	-1.951679e+000	-9.758394e-001	-1.561343e+000
7.336893034778706e-004	-1.984335e+000	-9.921677e-001	-1.587468e+000
7.495594822197924e-004	-1.995211e+000	-9.976053e-001	-1.596168e+000
7.648362673507978e-004	-1.984042e+000	-9.920210e-001	-1.587233e+000
7.891446740316229e-004	-1.921715e+000	-9.608573e-001	-1.537372e+000
8.284927729174875e-004	-1.728093e+000	-8.640463e-001	-1.382474e+000
8.784927729174875e-004	-1.348999e+000	-6.744995e-001	-1.079199e+000
9.284927729174876e-004	-8.474003e-001	-4.237002e-001	-6.779203e-001
9.784927729174875e-004	-2.628521e-001	-1.314261e-001	-2.102817e-001
1.028492772917487e-003	3.474258e-001	1.737129e-001	2.779407e-001
1.078492772917487e-003	9.236953e-001	4.618477e-001	7.389563e-001
1.128492772917487e-003	1.409547e+000	7.047735e-001	1.127638e+000
1.178492772917487e-003	1.776900e+000	8.884500e-001	1.421520e+000
1.206965071392851e-003	1.918836e+000	9.594179e-001	1.535069e+000
1.222796691746775e-003	1.965375e+000	9.826877e-001	1.572300e+000
1.240598583215567e-003	1.989185e+000	9.945927e-001	1.591348e+000
1.261502232867026e-003	1.985650e+000	9.928252e-001	1.588520e+000
1.283723009345503e-003	1.939967e+000	9.699835e-001	1.551974e+000
1.319753606173251e-003	1.779420e+000	8.897098e-001	1.423536e+000
1.369753606173251e-003	1.424325e+000	7.121625e-001	1.139460e+000
1.419753606173251e-003	9.425744e-001	4.712872e-001	7.540596e-001
1.469753606173251e-003	3.685581e-001	1.842791e-001	2.948465e-001
1.519753606173251e-003	-2.415352e-001	-1.207676e-001	-1.932282e-001
1.569753606173250e-003	-8.279854e-001	-4.139927e-001	-6.623884e-001
1.619753606173250e-003	-1.333387e+000	-6.666933e-001	-1.066709e+000
1.669753606173250e-003	-1.722563e+000	-8.612813e-001	-1.378050e+000
1.703643786744997e-003	-1.905234e+000	-9.526168e-001	-1.524187e+000
1.720302362694064e-003	-1.959705e+000	-9.798526e-001	-1.567764e+000
1.737576374752028e-003	-1.986164e+000	-9.930818e-001	-1.588931e+000
1.760374443681264e-003	-1.986105e+000	-9.930527e-001	-1.588884e+000
1.781888283691941e-003	-1.945592e+000	-9.727958e-001	-1.556473e+000
1.816790497445422e-003	-1.795644e+000	-8.978218e-001	-1.436515e+000
1.866790497445422e-003	-1.448901e+000	-7.244507e-001	-1.159121e+000
1.916790497445422e-003	-9.742134e-001	-4.871067e-001	-7.793707e-001
1.966790497445422e-003	-4.041625e-001	-2.020812e-001	-3.233300e-001
2.016790497445422e-003	2.054506e-001	1.027253e-001	1.643605e-001
2.066790497445422e-003	7.949528e-001	3.974764e-001	6.359622e-001
2.116790497445422e-003	1.306639e+000	6.533197e-001	1.045311e+000
2.166790497445422e-003	1.703010e+000	8.515049e-001	1.362408e+000
2.202505555298499e-003	1.900363e+000	9.501815e-001	1.520290e+000
2.219449292325440e-003	1.957658e+000	9.788290e-001	1.566126e+000
2.236545690886623e-003	1.984977e+000	9.924886e-001	1.587982e+000
2.259989217537181e-003	1.986251e+000	9.931254e-001	1.589001e+000
2.281261508023074e-003	1.947448e+000	9.737242e-001	1.557959e+000
2.315777631941878e-003	1.801050e+000	9.005251e-001	1.440840e+000
2.365777631941878e-003	1.457187e+000	7.285937e-001	1.165750e+000
2.415777631941878e-003	9.849514e-001	4.924757e-001	7.879611e-001
2.465777631941878e-003	4.163015e-001	2.081507e-001	3.330412e-001
2.515777631941878e-003	-1.930990e-001	-9.654948e-002	-1.544792e-001
2.565777631941878e-003	-7.835975e-001	-3.917988e-001	-6.268780e-001
2.615777631941878e-003	-1.297392e+000	-6.486961e-001	-1.037914e+000
2.665777631941878e-003	-1.696198e+000	-8.480988e-001	-1.356958e+000
2.702114864116484e-003	-1.898667e+000	-9.493334e-001	-1.518933e+000
2.719156694121221e-003	-1.956943e+000	-9.784716e-001	-1.565554e+000
2.736192528012104e-003	-1.985383e+000	-9.926916e-001	-1.588307e+000
2.757381993026423e-003	-1.989655e+000	-9.948273e-001	-1.591724e+000
2.777018573152349e-003	-1.959149e+000	-9.795747e-001	-1.567319e+000
2.808913419838924e-003	-1.835803e+000	-9.179016e-001	-1.468643e+000
2.858913419838924e-003	-1.511770e+000	-7.558852e-001	-1.209416e+000
2.908913419838924e-003	-1.056651e+000	-5.283253e-001	-8.453204e-001
2.958913419838924e-003	-4.980984e-001	-2.490492e-001	-3.984787e-001
